t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
0.000000,3.200000,3.199000,3.210000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
0.500000,3.198473,3.194000,3.200000,6.000000,0.000000,0.036655,0.036655,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
1.000000,3.197152,3.198000,3.200000,6.000000,0.000000,0.031709,0.031709,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
1.500000,3.195649,3.192000,3.190000,6.000000,0.000000,0.036049,0.036049,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
2.000000,3.194335,3.197000,3.200000,6.000000,0.000000,0.031545,0.031545,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
2.500000,3.192743,3.192000,3.200000,6.000000,0.000000,0.038200,0.038200,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
3.000000,3.191255,3.194000,3.190000,6.000000,0.000000,0.035726,0.035726,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
3.500000,3.189832,3.181000,3.180000,6.000000,0.000000,0.034150,0.034150,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
4.000000,3.188351,3.188000,3.200000,6.000000,0.000000,0.035541,0.035541,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
4.500000,3.187015,3.187000,3.200000,6.000000,0.000000,0.032059,0.032059,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
5.000000,3.185596,3.183000,3.210000,6.000000,0.000000,0.034054,0.034054,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
5.500000,3.184095,3.182000,3.180000,6.000000,0.000000,0.036036,0.036036,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
6.000000,3.182672,3.190000,3.180000,6.000000,0.000000,0.034156,0.034156,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
6.500000,3.181113,3.182000,3.180000,6.000000,0.000000,0.037400,0.037400,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
7.000000,3.179723,3.183000,3.170000,6.000000,0.000000,0.033374,0.033374,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
7.500000,3.178219,3.169000,3.180000,6.000000,0.000000,0.036088,0.036088,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
