t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
0.000000,3.200000,3.203000,3.200000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
0.500000,3.198594,3.201000,3.190000,6.000000,0.000000,0.033747,0.033747,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
1.000000,3.197114,3.196000,3.200000,6.000000,0.000000,0.035517,0.035517,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
1.500000,3.195703,3.197000,3.180000,6.000000,0.000000,0.033858,0.033858,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
2.000000,3.194323,3.184000,3.200000,6.000000,0.000000,0.033136,0.033136,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
2.500000,3.192961,3.191000,3.200000,6.000000,0.000000,0.032678,0.032678,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
3.000000,3.191559,3.195000,3.190000,6.000000,0.000000,0.033649,0.033649,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
3.500000,3.190010,3.189000,3.200000,6.000000,0.000000,0.037167,0.037167,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
4.000000,3.188432,3.177000,3.180000,6.000000,0.000000,0.037875,0.037875,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
4.500000,3.186879,3.184000,3.190000,6.000000,0.000000,0.037288,0.037288,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
5.000000,3.185385,3.177000,3.190000,6.000000,0.000000,0.035844,0.035844,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
5.500000,3.183864,3.182000,3.200000,6.000000,0.000000,0.036499,0.036499,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
6.000000,3.182396,3.183000,3.180000,6.000000,0.000000,0.035241,0.035241,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
6.500000,3.180909,3.173000,3.200000,6.000000,0.000000,0.035679,0.035679,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
7.000000,3.179455,3.181000,3.200000,6.000000,0.000000,0.034905,0.034905,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
7.500000,3.177900,3.183000,3.180000,6.000000,0.000000,0.037313,0.037313,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
8.000000,3.176555,3.164000,3.190000,6.000000,0.000000,0.032280,0.032280,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
8.500000,3.175156,3.168000,3.170000,6.000000,0.000000,0.033576,0.033576,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
9.000000,3.173578,3.175000,3.180000,6.000000,0.000000,0.037877,0.037877,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
9.500000,3.172171,3.174000,3.180000,6.000000,0.000000,0.033758,0.033758,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
10.000000,3.170598,3.163000,3.170000,6.000000,0.000000,0.037749,0.037749,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
10.500000,3.169004,3.175000,3.160000,6.000000,0.000000,0.038273,0.038273,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
11.000000,3.167651,3.169000,3.170000,6.000000,0.000000,0.032466,0.032466,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
11.500000,3.166120,3.169000,3.180000,6.000000,0.000000,0.036745,0.036745,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
12.000000,3.164758,3.168000,3.160000,6.000000,0.000000,0.032694,0.032694,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
12.500000,3.163196,3.165000,3.180000,6.000000,0.000000,0.037485,0.037485,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
13.000000,3.161737,3.161000,3.170000,6.000000,0.000000,0.035001,0.035001,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
13.500000,3.160150,3.151000,3.150000,6.000000,0.000000,0.038099,0.038099,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
14.000000,3.158800,3.161000,3.160000,6.000000,0.000000,0.032409,0.032409,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
14.500000,3.157324,3.159000,3.170000,6.000000,0.000000,0.035407,0.035407,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
15.000000,3.155724,3.156000,3.160000,6.000000,0.000000,0.038408,0.038408,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
15.500000,3.154126,3.150000,3.180000,6.000000,0.000000,0.038350,0.038350,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
16.000000,3.152598,3.152000,3.170000,6.000000,0.000000,0.036665,0.036665,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
16.500000,3.151152,3.150000,3.150000,6.000000,0.000000,0.034714,0.034714,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
17.000000,3.149803,3.153000,3.150000,6.000000,0.000000,0.032388,0.032388,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
